copies,threads,values
0,0,7.661487702459511e-06
0,2,1.3905098980203965e-05
0,4,1.4235892821435715e-05
0,6,1.4743671265746853e-05
0,8,1.5337112577484507e-05
0,10,1.722139572085583e-05
0,12,1.761347730453909e-05
1,0,2.908950209958008e-05
1,2,3.5932133573285354e-05
1,4,3.469870025994801e-05
1,6,3.6655668866226756e-05
1,8,3.7749970005998796e-05
1,10,3.850125974805039e-05
1,12,4.057840431913618e-05
2,0,6.113747250549889e-05
2,2,6.857486502699458e-05
2,4,6.471077784443111e-05
2,6,6.244681063787243e-05
2,8,6.559802039592082e-05
2,10,6.677322535492902e-05
2,12,6.879120175964806e-05
3,0,9.754693061387725e-05
3,2,0.00010724399120175968
3,4,0.00010164955008998199
3,6,9.942037592481503e-05
3,8,9.631623675264947e-05
3,10,0.00010085658868226356
3,12,0.00010359622075584881
4,0,0.00014529792041591684
4,2,0.00015434309138172368
4,4,0.00014776414717056587
4,6,0.0001453664667066587
4,8,0.0001467885422915417
4,10,0.00014216922615476905
4,12,0.0001476627874425115
5,0,0.00020155128974205157
5,2,0.0002127031793641272
5,4,0.00020000045990801842
5,6,0.00020126452709458108
5,8,0.00020165200959808036
5,10,0.00020263305338932207
5,12,0.00019566250749850032
6,0,0.00026501369726054794
6,2,0.00027534215156968604
6,4,0.0002660509298140372
6,6,0.0002616982203559288
6,8,0.00026481671665666865
6,10,0.00026497332533493304
6,12,0.0002658663267346531
7,0,0.00031786468706258744
7,2,0.0003334268146370726
7,4,0.00031868288342331533
7,6,0.0003158109178164368
7,8,0.0003182484703059388
7,10,0.00031710927814437113
7,12,0.00032008108378324336
8,0,0.000419331873625275
8,2,0.00043306538692261537
8,4,0.00041919012197560497
8,6,0.0004080404519096181
8,8,0.00041625940811837643
8,10,0.0004169662667466507
8,12,0.000421474325134973
9,0,0.0005017060387922415
9,2,0.0005181691661667666
9,4,0.0004954686662667466
9,6,0.00049610199960008
9,8,0.0004979975204959006
9,10,0.0004989151969606078
9,12,0.0004991868226354729
10,0,0.0006098172965406919
10,2,0.0006243283943211357
10,4,0.0006056155768846232
10,6,0.0005979766646670666
10,8,0.000600850649870026
10,10,0.000604578424315137
10,12,0.0006078277144571086
11,0,0.0006612049590081984
11,2,0.0006812140771845633
11,4,0.0006557076384723057
11,6,0.0006502548690261947
11,8,0.0006409916616676664
11,10,0.0006547037792441513
11,12,0.0006583126574685063
12,0,0.0008305189362127575
12,2,0.0008484881023795242
12,4,0.0008229282943411319
12,6,0.0008143838032393521
12,8,0.00082026524695061
12,10,0.0008204063787242553
12,12,0.0008247017396520697
13,0,0.0009435951809638072
13,2,0.0009675896420715855
13,4,0.0009261784443111377
13,6,0.0009283729854029193
13,8,0.0009308185562887424
13,10,0.0009311486902619477
13,12,0.0009341488102379523
14,0,0.0010870435712857429
14,2,0.0011087854829034192
14,4,0.0010766085182963411
14,6,0.0010577860427914416
14,8,0.0010728469506098778
14,10,0.0010577625874825037
14,12,0.0010774485102979404
15,0,0.0011325761247750448
15,2,0.0011615521895620873
15,4,0.0011185048190361926
15,6,0.001111523695260948
15,8,0.0011111203359328132
15,10,0.0011188799040191962
15,12,0.0011201351729654072
16,0,0.001426430053989202
16,2,0.0014075868226354731
16,4,0.0013689596680663866
16,6,0.0013575234153169365
16,8,0.0013735425714857027
16,10,0.0013617506898620276
16,12,0.0013802478704259147
17,0,0.0016112116376724654
17,2,0.0016132106178764248
17,4,0.0015370069186162766
17,6,0.0015362962207558489
17,8,0.0015709374925014998
17,10,0.00153420599880024
17,12,0.0015175170765846832
18,0,0.0019272963007398519
18,2,0.0018677850029994
18,4,0.0018195376324735048
18,6,0.0018335193161367726
18,8,0.0018564229154169171
18,10,0.0019027326534693067
18,12,0.00196668198360328
19,0,0.0021873674065186967
19,2,0.0021346070185962814
19,4,0.002042041051789642
19,6,0.0019899674465106982
19,8,0.0019590235352929413
19,10,0.0020058352329534093
19,12,0.0020151315536892623
